,0,1,2
0,Koncert med Rytmisk Center.,"Mon 20 November 2017, 6 pm  - 10 pm.
(nan)","Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V"
1,Five Finger Death Punch & In Flames.,"Mon 20 November 2017, 7 pm.
(Entrance fee: 408,00 dkk - 508,00 dkk)(nan)","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
2,Koncert med Lyngby Seniorkor.,"Mon 20 November 2017, 7 pm  - 11 pm.
(nan)","Sorgenfri Kirke og SognegÃ¥rd, Hummeltoften 1, Virum"
3,Mestre pÃ¥ Mandage IX.,"Mon 20 November 2017, 7.30 pm.
(Free admission)(nan)","Sankt Markus Kirke, Forchhammersvej 12A, Frederiksberg C"
4,Moderne mandag - Beates klaverbog.,"Mon 20 November 2017, 7.30 pm.
(Entrance fee: 100 / 50 DKK)(nan)","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
5,Gaffa Session: SÃ¸ren Huss.,"Mon 20 November 2017, 7.30 pm.
(Entrance fee: 95 DKK)(nan)","KU.BE, Dirch Passers AllÃ© 4, Frederiksberg"
6,SAGA - 40th Anniversary - The Final Chapter Tour 2017 - UDSOLGT.,"Mon 20 November 2017, 8 pm.
(Entrance fee: 325,00 DKK)(nan)","Amager Bio, Ã˜resundsvej 6, Copenhagen S"
7,The Kooks (uk) - Venteliste.,"Mon 20 November 2017, 8 pm.
(Entrance fee: 325,00 DKK)(nan)","VEGA, Enghavevej 40, Copenhagen V"
8,The Pagsberg Bigband.,"Mon 20 November 2017, 8 pm  - 10.30 pm.
(Entrance fee: 80kr.)(nan)","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
9,J Hus.,"Mon 20 November 2017, 9 pm.
(Entrance fee: 225,00 DKK)(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
10,Monday Night Big Band v./ Niels JÃ¸rgen Steen.,"Mon 20 November 2017, 9 pm  - 11.30 pm.
(Entrance fee: 168 DKK + gebyr)(nan)","Huset KBH - Stardust, RÃ¥dhusstrÃ¦de 13, 1. tv., Copenhagen K"
11,Monday Juke Joint.,"Mon 20 November 2017, 9.30 pm.
(Free admission)(nan)","Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K"
12,Cathrine Legardh 'I mit hjertes cafe' - tonesatte digte af Ditlevsen.,"Tues 21 November 2017, 5 pm.
(nan)","Frederiksberg Hovedbibliotek, Falkoner Plads 3, Frederiksberg"
13,DR Klub Klassisk: Stanley Kubrick og den klassiske musik.,"Tues 21 November 2017, 5 pm.
(Entrance fee: Gratis billetter)(nan)","Gentofte Hovedbibliotek, Ahlmanns AllÃ© 6, Hellerup"
14,I mit hjertes cafe - Koncert med tonesatte digte af Tove Ditlevsen.,"Tues 21 November 2017, 5 pm.
(Entrance fee: Gratis billetter)(nan)","Frederiksberg Hovedbibliotek, Falkoner Plads 3, Frederiksberg"
15,Concert d'amour.,"Tues 21 November 2017, 7.30 pm.
(Entrance fee: 50 DKK.)(nan)","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
16,Koncert med Jesper RenÃ©.,"Tues 21 November 2017, 7.30 pm  - 8.30 pm.
(nan)","Timotheuskirken, Christen Bergs AllÃ© 5, Valby"
17,Spillemandsdansen spiller op til folkedans pÃ¥ Lindegaarden.,"Tues 21 November 2017, 7.30 pm  - 9.45 pm.
(Entrance fee: 100 DKK pr. Ã¥r)(nan)","Kulturstedet Lindegaarden, Peter Lunds Vej 8, Kongens Lyngby"
18,Public Service Broadcasting.,"Tues 21 November 2017, 8 pm.
(Entrance fee: 180 DKK)(nan)","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
19,TakÃ¡cs Strygekvartetten.,"Tues 21 November 2017, 8 pm.
(Entrance fee: 295 - 395 DKK)(nan)","Mogens Dahl Koncertsal, Snorresgade 22, Copenhagen S"
20,Omar Souleyman (sy).,"Fri 2 February 2018, 9 pm.
(nan)","VEGA, Enghavevej 40, Copenhagen V"
21,Per Christian Frost & Band.,"Fri 2 February 2018, 9 pm.
(Entrance fee: Entre billet 135 DKK, Entre + Jazzmenu 285 DKK)(nan)","EllegÃ¥rden, Stavnsholtvej 168, Farum"
22,Koncert m. Hjalmer.,"Fri 2 February 2018, 9 pm.
(Entrance fee: 170 DKK + evt. gebyr)(nan)","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
23,Dansefest: Bobo Moreno & The Heat Monkeys.,"Fri 2 February 2018, 9 pm.
(Entrance fee: 195 DKK. + gebyr - 220 DKK i dÃ¸ren)(nan)","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
24,The KutiMangoes // Vinterjazz 2018.,"Fri 2 February 2018, 9 pm.
(Entrance fee: Forsalg: 90 DKK. (stud. 70 DKK.))(nan)","Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV"
25,Marvelous Mosell.,"Fri 2 February 2018, 9 pm.
(Entrance fee: 165,00 DKK)(nan)","Templet, Jernbanevej 16, Kongens Lyngby"
26,OrgelmatinÃ©.,"Sat 3 February 2018, 12 am.
(Free admission)(nan)","Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K"
27,HÃ¸reforeningen BrÃ¸ndby Lokalafdeling.Ã¥rsmÃ¸de med underholdning To mand frem.,"Sat 3 February 2018, 12 am  to 15.30.
(Entrance fee: 50.00 for ikke medlemmer)(nan)","Kulturhuset Kilden, NygÃ¥rds Plads 31, BrÃ¸ndby"
28,Sinne Eeg.,"Sat 3 February 2018, 12.30 am.
(Entrance fee: 490,00 DKK)(nan)","Skovshoved Hotel, Strandvejen 267, Charlottenlund"
29,"JÃ¸rgensen, Banks, Backhausen.","Sat 3 February 2018, 2.30 pm.
(Entrance fee: 100,-(80,-))(nan)","Jazzcup, Gothersgade 107, Copenhagen K"
30,Tre gange Dreisig med gÃ¦st.,"Sat 3 February 2018, 3 pm.
(Free admission)(nan)","Vor Frelsers Kirke, Sankt AnnÃ¦ Gade 29, Copenhagen K"
